__label__1 , The European Union includes how many ?
__label__1 , What are famous fodds in sweden ?
__label__2 , Which Canadian city was first to have a subway ?
__label__1 , Where is ketchup form ?
__label__1 , The reconciliation of faith and reason ?
__label__1 , South Carolina was what type of colony ?
__label__1 , The syrup used to induce vomiting ?
__label__1 , Tablespoons to fluid ounces ?
__label__2 , How much dose it cost to run a dam for a year ?
__label__2 , Where should you search for purity rings ?
__label__1 , How much is killomiters in grams ?
__label__1 , Brake light replacement 2005 liberty ?
__label__2 , What is the oldest major league baseball franchise ?
__label__2 , How many moles of carbon are in 8.00 moles ?
__label__1 , What are the notes of Happy Birthday for Trombone ?
__label__2 , What is selena gomez 's country ?
__label__1 , 30 richest countries in the world ?
__label__1 , What events influnced pindars life ?
__label__2 , What are the 6 biomes in canada ?
__label__1 , Sr Creatinine how to control it ?
__label__1 , What is the term for absense of voice ?
__label__1 , Where isthe heater core is located on a kia sportage 2001 ?
__label__1 , Two common examples of compounds ?
__label__1 , How much does action replay cost in the phiippines ?
__label__1 , Relationship your aunt and her child ?
__label__1 , How did John Fredich made the tractor ?
__label__2 , What is ` white flight ' ?
__label__2 , What are the two basic reigons of the aquatic biome ?
__label__1 , The biggest beetle ?
__label__2 , What counrty was kevin jonas born in ?
__label__2 , How much money does a painter earn a day ?
__label__1 , What is the traditional three-fold disciplince of Lent ?
__label__1 , Professor Layton Curious Village cheat to Star In The Sky Answer ?
__label__1 , What are the types of verbals Give example ?
__label__1 , List down the important of computer ?
__label__1 , What is share market in 2 lines ?
__label__2 , What is acetaminophen made out of ?
__label__2 , What is the scientific name for lime trees ?
__label__2 , When did juan de cabrillo die ?
__label__2 , How many significant digits are in 3400.00 ?
__label__2 , What religion is michael seater ?
__label__2 , What is something that japan has as a quality feature ?
__label__2 , When was Macho Picchu discovered ?
__label__2 , What kind of cereal do grasshoppers eat ?
__label__2 , What languages does enrique speak ?
__label__1 , What contrie dose selena gozmez live in ?
__label__2 , Are Koala bears Nocturnal or Diurnal ?
__label__1 , World map of the habitat of a flying squirrel ?
__label__2 , What is the purpose of the rectangular shaped traffic sign ?
__label__1 , Members of a parrticular culture mean ?
__label__2 , How do you emphasize important ideas in paragraph ?
__label__1 , What ision in cation ?
__label__2 , How many tablespoons are in 22 oz ?
__label__1 , What is magnesium normal phse ?
__label__1 , How do you be a huge penguin on club penguin ?
__label__1 , How much is 1 schillinh 1961 worth ?
__label__1 , What is cpa ?
__label__2 , What college started cheerleading ?
__label__1 , What is age limit for ias exam for nt caste ?
__label__1 , Spore how to get the planet buster ?
__label__1 , How much measure the human genome ?
__label__2 , How many different kind of sports are in egypt ?
__label__1 , What biome does marine iguana live ?
__label__1 , Pros and cons for hydro power ?
__label__1 , When michael jackson was born ?
__label__1 , What will happens when you get tetanus ?
__label__2 , What is the prey for a wild husky ?
__label__2 , Who did howard florey marry ?
__label__1 , What is coronas postal code ?
__label__2 , What is the difference if a child is questioned by a detective rather than a police officer ?
__label__1 , What are the main influezences of hip hop music ?
__label__1 , Why is ethics is important ?
__label__1 , How many quarters go in a quater cion roll ?
__label__1 , Top speed of a yamaha yz85 ?
__label__1 , The garbage disposal problem can best be rduced by ?
__label__1 , What is code for rhythm strip ?
__label__1 , A male whale is called a ?
__label__1 , Who invented soada pop ?
__label__2 , Are hormones molecules ?
__label__2 , Are you allowed a dui in the coast guard ?
__label__1 , Unmanmade landmarks in europe ?
__label__1 , The four parts of boot process of an os ?
__label__2 , What is alien xes code ?
__label__1 , A description of climate in wales ?
__label__2 , How much is a 1845 VF30 liberty one cent piece worth ?
__label__1 , Need conversion factors for ml cc and mg ?
__label__1 , Philippine literature in the period of new society ?
__label__1 , 8 - What was the ERA and what happened to it and why ?
__label__1 , What are the symptoms of of deficiency when using iron ?
__label__2 , Where can you read manga silver fang legend weed free online ?
__label__2 , How many official sunspots were recorded in 1990 ?
__label__2 , What family are the leeches related to ?
__label__2 , Which blood vessel carries the most oxygen ?
__label__1 , Maseru to qacha 's nek road distance map ?
__label__1 , What is judasm ?
__label__1 , How much are ultram ?
__label__1 , Salary of healthcare administrator ?
__label__2 , What are the qualifications needed to become an editor in Australia ?
__label__1 , Where the octopus live from ?
__label__1 , What is myocardial infarction III a VF ?
__label__1 , Where do you instal oblivion mods ?
__label__1 , How much doesa a hockey puck weigh ?
__label__1 , What is internet source in works cited ?
__label__1 , What is the value of 1861 victoria half penny ?
__label__2 , Where are taiga bioms located ?
__label__2 , Is MSG a liquid ?
__label__2 , Where does the bluegill fish get the energy from ?
__label__1 , How do bison protect them ?
__label__2 , Will a dolphin kick a sharks ass ?
__label__2 , About how many square miles is the continent of africa ?
__label__1 , Where mid-latitude cyclones tend to develop or redevelop ?
__label__2 , Where is the thermostat in a tercel ?
__label__2 , What is the source of the force causing the planet to accelerate ?
__label__1 , What is the the atmosphere on venus like ?
__label__1 , What was the name of Persephone kids ?
__label__1 , How do you become a part of swat ?
__label__2 , What college does jeremy roloff attend ?
__label__2 , What are the eras of scientific notation ?
__label__2 , What are the different types of leukemia ?
__label__1 , What special problems do th indian consumers face ?
__label__2 , How much does new york cost if you buy it ?
__label__2 , What did Marco Polo trade to Turkey ?
__label__1 , Zip code of missouri ?
__label__1 , Where the word karate cam from ?
__label__1 , What the main strengths of person ?
__label__2 , What mountain range is mt olympus located on ?
__label__2 , An ordinary drinking glass holds about how much of liquid ?
__label__1 , What is the statutory rape laws in iowa ?
__label__2 , How do fungi act as decomposers ?
__label__2 , What are the two main mountain ranges in Alaska ?
__label__2 , What were three great society programs ?
__label__1 , Speed sensor durango 1999 ?
__label__2 , What is the duality nature of light ?
__label__1 , Two major cast-lined tivers in europe ?
__label__2 , What monster had riddles ?
__label__2 , What are the products made in Appalachian Plateau ?
__label__1 , Blood clot is known as ?
__label__2 , What are interesting things about winter white hamsters ?
__label__2 , How much money is the starting salary for bakers ?
__label__2 , Is cronus the god of saturn ?
__label__2 , What is mom in danish ?
__label__1 , The amount of arable land in china ?
__label__2 , Are baby elephants called cavles ?
__label__1 , Where did johann pachelbel ?
__label__2 , What is villanova 's mascot 's name ?
__label__1 , Where is anddora ?
__label__2 , Where is the ultimate warrior in 2010 ?
__label__1 , Red blood cells are formed ?
__label__2 , Where did Athenians come from ?
__label__2 , How many bones do you have in the fingers ?
__label__1 , What does the peace sighn and your tounge throught it mean ?
__label__1 , Whatwhat was the reason for the russian revolution ?
__label__2 , What is vertical development composition ?
__label__2 , How do you complete level 5 on 100 Floors ?
__label__2 , What is the official languages of the EU ?
__label__1 , What people might notice if you are avout to faint and what causes thesee symptons ?
__label__2 , What is the scientific name of the house fly ?
__label__2 , Which place is best for sex ?
__label__2 , What is the platelets function ?
__label__1 , Why new york teenagers involve in bad habits ?
__label__2 , By law what age can you leave a child home alone in tennessee ?
__label__1 , What is the value of a 1994 one penny ?
__label__2 , What island is part of the west indies ?
__label__2 , How much do saxphones cost ?
__label__2 , How much money do soccer coaches get a year ?
__label__1 , What year did mary anderson invented ?
__label__2 , How can you make flubber without borax or starch ?
__label__2 , How do people make up their minds ?
__label__2 , How much does a chateaux cat cost ?
__label__2 , What is the new 2010 nivea tanning cream song on the advert called ?
__label__1 , What is the echidnas ' enemies ?
__label__1 , What conty do cookies come from ?
__label__2 , How much does a school secretary get a year ?
__label__2 , What do gladiators do for training ?
__label__1 , What do you call your wife ' w brother 's wife ?
__label__1 , The importance of using a database ?
__label__1 , What interested kobe to play basketball ?
__label__2 , What is the recipe origin of pork ?
__label__1 , Principles of corporate finance ?
__label__2 , How do you remove the dash on a 1963 impala ?
__label__2 , How much is a 1950 d series 5 bill worth ?
__label__2 , What is is the electron dot structure of calcium ?
__label__2 , What is Edmunds real name in narnia ?
__label__1 , How many calories in a mini bitsize 3 muskenteers bar ?
__label__1 , Can a twin have the gene as a twin to pass om ?
__label__1 , Where Gypsies lives ?
__label__2 , What is the value of a 1972 franc from france ?
__label__2 , What is the dragon claws code in runescape ?
__label__2 , Are there any water skiiing tournaments ?
__label__1 , Name of the present pope please ?
__label__1 , Where is the starter 1995 eldorado ?
__label__1 , Geometric figures that lie in a common plane ?
__label__2 , Can you catch regirock if you killed it once ?
__label__1 , Where is blower motor for 1999 ford contour ?
__label__2 , What is the positive side of using lethal injection ?
__label__1 , University of paris also called ?
__label__1 , How do oak trees look like ?
__label__2 , What is the most popular resturaunt in the US ?
__label__2 , Where do you find glycogen in vertebrates ?
__label__2 , What is the sensor of a solid ?
__label__2 , How many known elements are there at this time ?
__label__1 , The official church of russia was th ?
__label__2 , Who discovered the element Antimony and when ?
__label__2 , Where was soulja boy tell 'm born ?
__label__1 , Puma AG is owned by who ?
__label__1 , Primary functions of the respiratory epithelium ?
__label__1 , The cost of loaf of breadin 2007 ?
__label__1 , Bond in sucrose ?
__label__1 , What day does the myane calender end ?
__label__1 , How can you become a wizards ?
__label__1 , What does the name paola loza ?
__label__2 , What continent is Curacao located on ?
__label__1 , Size of master bathroom ?
__label__2 , What is the nearest spinal galaxy ?
__label__1 , Can a chemist becom a chemical pathologist ?
__label__1 , What is the ideal weigt of a 5 ' 4 woman ?
__label__2 , Which thing is a nonliving material that comes from the earth ?
__label__1 , What si the largest mountain chain in Asia ?
__label__2 , Whcih architectural site was designed by maya ying lin ?
__label__1 , What is the dyest country in Oceania ?
__label__2 , What caused the continents to seperae ?
__label__2 , What is the official opposition in canada ?
__label__2 , Which elephant species has the biggest ears ?
__label__2 , What is latest open source application software ?
__label__2 , What is the significance of the mexican independence war ?
__label__2 , How many miles flight from Chicago to Beijing China ?
__label__2 , How do hockey positions work ?
__label__2 , How much money does a pediatric doctor get paid a month ?
__label__1 , Average salary of a professional makeup artist ?
__label__1 , What responsibilities do you have has a veterinarian ?
__label__1 , What karyote type is hemophilia ?
__label__2 , What is the vote of no confidence ?
__label__2 , Do insects fight to protect themselves ?
__label__2 , What are three factors that denature enzymes ?
__label__2 , How many calories in a cup of chopped lettuce ?
__label__2 , How many centitmters equal four decimeters ?
__label__1 , 888 grams of broccoli is how much ?
__label__1 , The major problem with the first US government was ?
__label__1 , What is the warmest temperature ever recorded is california ?
__label__1 , Bernis madoff net worth ?
__label__2 , Where does hematoma form ?
__label__1 , What is some lifeskills by ceaser chaves ?
__label__1 , What are leaft and right atriums ?
__label__2 , What were the wars in South America ?
__label__1 , What are the differemnt types of fire ?
__label__2 , What is nick cannon 's net woth ?
__label__2 , What is the proper act ?
__label__2 , What is the reactivity level of cobalt ?
__label__1 , Biggest synagogue in the world ?
__label__2 , What are scientific names for horses ?
__label__1 , Advantages of using a data base ?
__label__2 , What was the name of the President in Albania in 2010 ?
__label__1 , Why is flame test useful ?
__label__2 , How do you calculate output ?
__label__1 , What is the song that tiffani harten sang of off snow white ?
__label__1 , What are christmas color ?
__label__2 , How far arpart is darwin and Alice springs on road ?
__label__2 , What can you get out of cotton plants that would be useful to us ?
__label__1 , At what level does Wartortle evolve in to Blastos ?
__label__1 , What is the importance of computer in relationship to public administration ?
__label__1 , First time man orbits earth in a spacecraft ?
__label__1 , Personal qualities and physical qualities ?
__label__1 , In superpower island how do you fly ?
__label__1 , How much does and oz of weed cost ?
__label__2 , Where is the oil filter located on a 2005 GMC Envoy ?
__label__1 , But how did david and selena ?
__label__1 , What year did lady gaga win the grmmays ?
__label__2 , What type of poetry did Eugene Fields write ?
__label__2 , What is the birth rate and death rate in serbia ?
__label__2 , What the hell is a charizard ?
__label__1 , How many grams caster sugar in cup ?
__label__1 , Where does it occur glycosis ?
__label__2 , What is the place of worship called for a buddhist ?
__label__2 , What is 375 grams of sugar in cups ?
__label__1 , What is is a pole dance ?
__label__1 , How do snakes survive in the thesert ?
__label__1 , Mechanics of menu planning ?
__label__1 , World 's largest cricket ground in diameter ?
__label__2 , What is the scientific meaning of translucent ?
__label__2 , What compounds form silicon ?
__label__2 , How do you replace a water pump for Dodge Durango ?
__label__1 , 4 social classes of Japanese Feudalism ?
__label__1 , What is the nursing management in lochia ?
__label__1 , How may centimetres in 1.4 metres ?
__label__1 , What is an example of an mechanical energy ?
__label__2 , What type of systems did they have in greece ?
__label__1 , Number of players on a vollyball team ?
__label__1 , Inter tidal zones around the world ?
__label__1 , What is cubic meter in chemistry ?
__label__1 , The symbol for the carnival in quebec is ?
__label__2 , How many kg equal 1 g ?
__label__1 , Why was volleyball become a sport ?
__label__1 , What is young one of penguin called ?
__label__2 , How do you change transmission oil for acura tl 2001 ?
__label__2 , How is oil extracted from foods ?
__label__2 , In what province is the city of winnipeg ?
__label__1 , What are Luke Skywalker qualities ?
__label__1 , What are types of pugs ?
__label__1 , What is three methods of improve memory ?
__label__1 , Cl2 lewis dot structure ?
__label__1 , What movies does Keira Knightly play in ?
__label__2 , Who invented marlboro cigarettes ?
__label__2 , What nutrients does a green pepper contain ?
__label__1 , What year was cabrals voyage for portugal ?
__label__1 , What are the main belifs of buddism ?
__label__1 , Usa higest waterfall ?
__label__1 , The meaning of kayla ?
__label__1 , What is the roe of tRNA in protein synthesis ?
__label__2 , How long does it take to digest muffins ?
__label__1 , The Brahmins were important because they ?
__label__1 , What is naval vessel ?
__label__1 , Levels of Biological Organization equals Flowchart ?
__label__2 , How many quadrants is the abdominal region divided into ?
__label__2 , What is nefertiti 's hat made of ?
__label__2 , 1 What are the most and least effective types of contraception ?
__label__2 , How do you change toyota corolla head gasket ?
__label__1 , What do the Buddhism believe ?
__label__1 , What is the salary of private in the army ?
__label__2 , What languages are spoken in south and central america ?
__label__2 , What is meant by neurotic ?
__label__1 , Name of endangered animals india ?
__label__2 , How much calories does a red apple have in it ?
__label__1 , What is longitude and altigude singapore ?
__label__1 , What was the name of the Angels who is the messager ?
__label__1 , What is the setting of the book thieft ?
__label__2 , How much does 1 cup of white sugar weigh ?
__label__1 , What ios cost to carpet steps ?
__label__2 , Who is the leader in Jamaica ?
__label__2 , What sport did the people of ancient greece play ?
__label__2 , What do the innuit eat ?
__label__2 , What college in wisconsin could you get a degree in meteorology ?
__label__2 , Is jackson rathbone going to act in breaking down ?
__label__1 , What movies did hale berry star in ?
__label__2 , Where can you download free rap albums ?
__label__1 , Popular tourists attractions in morocco ?
__label__1 , A compund is made out of ?
__label__1 , What are the difference in Mutualism Commensalism Parasitism ?
__label__2 , What is the rank of iimt college of meerut in UP ?
__label__1 , Square footage of a round perimeter ?
__label__2 , What is the weather like in the Taiga forest ?
__label__1 , Who invented the istant polaroid cameras ?
__label__2 , What cell structures are within the cell membrane ?
__label__2 , Are the members of linkin park christians ?
__label__2 , What choke is a savage model 745 ?
__label__1 , What era you stevie wonder from ?
__label__1 , What are the cultures and customes of indonesia ?
__label__2 , Why was the quota system enacted ?
__label__1 , Abe lincoln famous for ?
__label__1 , How kids do marlon Jackson ?
__label__1 , 4 primary functions of an operating system ?
__label__2 , How many miles is it from Sydney to Perth Australia ?
__label__1 , Angel of death islam ?
__label__1 , Mileage from Cincinnati OH to Louisville KY ?
__label__2 , What kind of medium do sound waves travel through quickest ?
__label__1 , What chlorines family ?
__label__2 , What level does piggotto evolve into piggot ?
__label__1 , Length of ohio river in miles ?
__label__1 , What is mason musso 's mew band ?
__label__1 , Proteins have subunits called what ?
__label__1 , Names of players of australian cricket team ?
__label__1 , How do sediments formed ?
__label__2 , What is the home of the world 's largest retailer ?
__label__2 , Are phiten necklaces any good ?
__label__2 , What do koalas drink ?
__label__2 , What atom is KCL ?
__label__2 , What do centrioles do ?
__label__2 , Are barbiturates stimulant ?
__label__1 , What is germanies area in square kilometres ?
__label__2 , Whats the plasma membrane ?
__label__2 , What is the scientific term for tailbone ?
__label__2 , What is the difference in vampire knight and vampire guilty ?
__label__1 , What did the US stood for ?
__label__2 , What is undergraduate GPA ?
__label__1 , Pulse point felt on the neck ?
__label__2 , What is the official laguage of Belize ?
__label__1 , 100 tons in pounds ?
__label__1 , What the dangers of visible light ?
__label__1 , How could you get herps ?
__label__2 , How does bronchitis effect the respiratory system ?
__label__2 , How many calories in 1 oz of 88 proof brandy ?
__label__2 , What are the sex cells for a female ?
__label__1 , How do you change a serpentine belt on 2000 olds alero ?
__label__2 , Who is iowas us senators ?
__label__2 , What is the habitat of the parrotfish ?
__label__2 , Why is borax an effective cross-linker ?
__label__2 , How many feet are there in 115 square feet ?
__label__1 , Information on eels ?
__label__2 , How is copper used in life ?
__label__1 , What is muhammads ali 's philosphy on life ?
__label__2 , Which nut is used to make chocolates ?
__label__1 , What is nerve pain is combing for and the suffix ?
__label__2 , Will a seed grow in the dark ?
__label__1 , What monuments are celebre in London ?
__label__2 , How many basketballs are needed to reach Michael Jordans height ?
__label__1 , The capital of lapland ?
__label__2 , How can coal mining harm the environment ?
__label__1 , What bodies of water boarder canada ?
__label__2 , What did sir john cabot find ?
__label__1 , Fear of cancer ?
__label__1 , Scientific contribution of corpernicus kepler newton ?
__label__1 , How much does a cardiothoracic surgeon amke ?
__label__1 , On what continent is india ' ?
__label__2 , Where did monarchy orginate ?
__label__1 , What carbohydrates are found inpotatoes and pasta ?
__label__2 , How much would wayne rooney cost ?
__label__1 , Pros and cons of human powered energy ?
__label__1 , What are sikhs funeral traditions ?
__label__1 , How many cups is 16 oz macoronni ?
__label__1 , What are tube feet expain how they work ?
__label__2 , Who invented flag football ?
__label__2 , When was jerryn spinelli born ?
__label__1 , File a written answer ?
__label__2 , Who invented Ritz crackers ?
__label__2 , How you find neutrophils ?
__label__2 , Are DNA and RNA soluble in a polar solvent like water ?
__label__1 , President when electric lights were invented ?
__label__1 , Steps of an abortion ?
__label__2 , What is the temperature of the center of the sun in kelvin ?
__label__2 , How much gold is in the palace of Versailles ?
__label__2 , How did frido kahlo die ?
__label__1 , How do you use banana ?
__label__1 , What was the emploiment in the 1960s ?
__label__2 , What is the name of the compound Hg2Br2 ?
__label__2 , How much does is cost to send a postcard to england from US ?
__label__2 , What type of people are considered citizens in the roman republic ?
__label__2 , Would a location with high rainfall or one with low rainfall be most likely to suffer fast chemical weathering ?
__label__2 , How do you expunge a felony charge ?
__label__2 , When was the 1st big mac invented ?
__label__1 , Blocking of a vessel by an embolus ?
__label__2 , How can you check transmission fluid for a 2002 diesel turbo jetta ?
__label__2 , What year did people stop living in pompeii ?
__label__2 , Which animal name is a cygnet ?
__label__2 , What did the traditional aborigines carry in a dilly bag ?
__label__2 , What are some closings for letters ?
__label__2 , How much money is trey anastasio worth ?
__label__1 , What is teh population of greenland ?
__label__2 , What awards did robert pattinson win ?
__label__1 , Studying the earth 's core ?
__label__2 , How many games has Rafael Nadal won ?
__label__1 , 5 What is the difference between therapeutic cloning and reproductive cloning ?
__label__1 , Can you take acetaminophen and naproxen togethhttpwikianswerscomQCan you take acetaminophen and naproxen togetherer ?
__label__2 , How much does a mcdonalds mgr make ?
__label__2 , Does kiwi contain iron ?
__label__1 , Will a nerve impulse occur if the excititory and inhibitory effects are equal ?
__label__1 , Whatschooling to you need to become an anthropologist ?
__label__2 , Where can you find the fuel filter on a 2000 Pontiac Sunfire ?
__label__1 , What learn civil engineering ?
__label__1 , Author of The Tale of Genji ?
__label__2 , What is the tusk used for ?
__label__2 , What are characteristics of an anticline ?
__label__1 , The total earnings for a nfl linemen ?
__label__1 , When did jesse owens ?
__label__1 , What is the history on plain indians ?
__label__2 , Where did shawn jonston go to school ?
__label__2 , Are corns non vascular ?
__label__2 , What is the most popular college in north carolina ?
__label__2 , Can you take alieve and oxycodone ?
__label__2 , How many ml is a quarter cup ?
__label__2 , What problems and concerns do teenagers have ?
__label__2 , What is the most dangerouse gun in the world ?
__label__1 , Science Meaning of Habitat ?
__label__1 , What country does chocolate come from - ?
__label__2 , How much is 1oz in grams ?
__label__1 , How do american bison protect it self ?
__label__2 , How do islamic beliefs differ from other beliefs ?
__label__1 , What is nerve pain is called ?
__label__2 , What are the three basic texts that all jews used ?
__label__2 , Where are the worlds largest spiders found ?
__label__2 , How do you deal with a mischievous person ?
__label__1 , What is the scientest called that studies fish ?
__label__2 , What is lenovo brand best used for ?
__label__2 , How many grams are in ton ?
__label__2 , What are three convection currents ?
__label__1 , Interaction modles in NZ and FRANCE ?
__label__1 , What is the width of an league goal post ?
__label__2 , How do epidermal wounds heal ?
__label__2 , How many total languages are spoken in europe ?
__label__2 , What is the value of a 1922 Aus halfpenny ?
__label__2 , Which element does the abbreviation Fe stand for ?
__label__2 , How do you display the division symbol ?
__label__1 , Transfer payments are included in ?
__label__1 , Project on different types of keyboards ?
__label__1 , Who found Orphet 's Town ?
__label__1 , At what level does Clefairy Female evolve ?
__label__1 , Who found gallium in what year ?
__label__2 , What do cake decorators earn ?
__label__2 , Where is department 16 in France ?
__label__2 , What phylum do humminbirds belong in ?
__label__1 , What is the official name of taiwan is ?
__label__1 , How much does a lamborghini marchalaga cost ?
__label__1 , Where do you buy salt from on howrse ?
__label__2 , What is the meaning of personal hygeine ?
__label__2 , What is intresting about lithium ?
__label__2 , How is the olympics important ?
__label__1 , What is spains nationol bird ?
__label__2 , What is the importance of the suez canel ?
__label__1 , Is PH3 polar or nnonpolar ?
__label__1 , What is the name of willow smiths pet ?
__label__1 , The main location of judaism ?
__label__1 , When onions grow what do the roots do ?
__label__1 , Blood fills these tissues in the penis ?
__label__2 , How do you change the serpentine belt on grand am 2000 ?
__label__2 , What are the parts of satellites ?
__label__2 , What is the role to hospices ?
__label__2 , What are some clothing items that start with K ?
__label__1 , Uranus temperature from coldest to hottest ?
__label__2 , How does a vet get rid of fleas or ticks ?
__label__1 , What do indian wear normally ?
__label__1 , Murder capitals of the world ?
__label__1 , Name the longest river in Australia ?
__label__1 , What kin of particles does ice have inside it ?
__label__2 , When was the first big mcac invented ?
__label__2 , What are some australian teen swimwear stores ?
__label__2 , When was the Muslim religion started and by whom ?
__label__2 , Where is the culture of islam located at ?
__label__2 , Is coal a molten material ?
__label__1 , What are the years for 13th century ?
__label__1 , How many justices serves on the supreme court of illinois ' ?
__label__1 , 2 types of golf clubs ?
__label__1 , How do tou begin a hat crocheting ?
__label__1 , Bread to toast ?
__label__1 , How do you change the power steering pump 1995 cirrus ?
__label__2 , What is the state nickname of china ?
__label__1 , What is google 's ticker symol ?
__label__1 , How improtant id flexibility in sports ?
__label__2 , Where would you find hot spots ?
__label__1 , Are selena gomez and david henrie gether ?
__label__1 , Why water infiltrates ?
__label__2 , What is 159.5 in feet ?
__label__1 , How many people were there in a haiti before the earthquake ?
__label__2 , How much is the 1940 3 pence worth ?
__label__1 , How do you change heater core in 1990 chevy ?
__label__2 , When did sandra cisneros graduate from college ?
__label__2 , What year was Jane Austin born in ?
__label__2 , What is the full address for nike headquarters ?
__label__2 , How can you use the word heinous in a sentence ?
__label__1 , Methods by which you can collect the data for market research ?
__label__1 , Normal blood presure for an 80 year old man ?
__label__2 , What is the value of a uncirculated 1965 quarter ?
__label__2 , How do cell membranes help with homeostasis ?
__label__1 , What kinds of atrs and crafts did the sioux indians do ?
__label__1 , How can organisms classified ?
__label__1 , How do you an abstract ?
__label__2 , Can you get totodile on pokemon pearl ?
__label__1 , Where is the 1997 plymouth breeze thermostat location ?
__label__1 , The process of when the sperm and egg meet is ?
__label__2 , What is famous about mali ?
__label__2 , How many sea turtles are left in the sea ?
__label__2 , What did martin frobisher discover in canada ?
__label__2 , How do convection currents work in water ?
__label__2 , Where is the pool pump impeller found ?
__label__1 , What is zip code for Imo state Nigeria ?
__label__2 , Who is in charge of Hamas ?
__label__1 , How did he betrayed jesus ?
__label__2 , Why would people belive in evolution ?
__label__1 , Zinedine zidane place of residence ?
__label__1 , Does melina perez has an ass ?
__label__1 , Sidney crosbys favorite food ?
__label__1 , What is deductive resoning ?
__label__1 , What are the importance of passing traits ?
__label__1 , When kakashi will die ?
__label__1 , Stpry o urduja ?
__label__2 , Can fleas cause my dog 's hair to fall out ?
__label__1 , How many levels in giant volcano ?
__label__2 , How did christina become famous ?
__label__1 , Why is efren peniaflorida became a hero ?
__label__1 , What contrbution did Leeuwenhoek do ?
__label__1 , Space inside chloroplasts but outside thylacoids ?
__label__1 , Oil drain plug on a 2007 GMC Sierra ?
__label__2 , What is the scientific name of apple cider vinegar ?
__label__1 , Medallion signature guarantee banks in phoenixaz ?
__label__1 , What Four functions of political parties include ?
__label__1 , The distance from Melbourne to Sydney ?
__label__2 , How many calories in a large whiskey ?
__label__1 , Latest presentation topic ?
__label__2 , What are the harmful effects of using a deodorant ?
__label__1 , Tourist attractions for the appalachian plateau ?
__label__1 , Climate for fiji ?
__label__1 , Texas 's yearly precipitation ?
__label__1 , Max speed sr71 blackbird ?
__label__2 , What is the thrid law in motion ?
__label__1 , What is your wifes brother to you ?
__label__2 , What is the name of the smallest town in North America ?
__label__2 , Where is the starter on a 2003 saturn vue awd ?
__label__1 , College of the redwoods unsafe unethical ?
__label__2 , How do you change the batter on 2001 PT cruiser ?
__label__2 , What was the main teaching of pure land buddhism ?
__label__1 , What some more words that mean satisfied ?
__label__2 , What class do arthropods belong to ?
__label__2 , How many hours to drive 100 miles ?
__label__2 , Where do you find the ohio lottery jackpot ?
__label__2 , What are fair trade items ?
__label__2 , What is the transfer password on match fantasy footbal ?
__label__2 , What is the normal MCV ?
__label__1 , Population of 5 largest cities in spain ?
__label__1 , What do semi-wild horse mean ?
__label__2 , How many people belive in cristianity ?
__label__1 , What is coal that produce electricity ?
__label__1 , What the maximum magnification for a scanning electron microscope ?
__label__2 , Where do copperheads hang out ?
__label__2 , Where is the location of Islam-shi ` ah ?
__label__1 , 2005 Mickie james playboy pics ?
__label__1 , Name the largest city in Canada ?
__label__2 , How much grain do you feed a sheep ?
__label__1 , What is pancreatitis symptom ?
__label__2 , How did the early man live ?
__label__1 , The 4 segments of the brainstem ?
__label__1 , The worlds most expensive paintball gun ?
__label__2 , How many dozens is 75 pies ?
__label__1 , What are the physical nature of sweden ?
__label__1 , Symbolism japanese flower tattoo ?
__label__2 , What do they call a period of silence in music ?
__label__1 , What do trees tattoos symbolize ?
__label__1 , Advantages and disadvantages of technology on society ?
__label__2 , What is a multilateral link ?
__label__1 , What is the oldest house in auckland and know is in cornwall park ?
__label__2 , What important industries are in Cuba ?
__label__1 , What are fact about the sun ?
__label__1 , Both an island and a continent ?
__label__1 , That is so not true he is not dating victoria justice although they are really close . ?
__label__2 , Are rodents endangered ?
__label__2 , What is the scientific name of the Asian elephant ?
__label__2 , What are the main parts of a communication satellite ?
__label__1 , What is an example of an eccessory pigment ?
__label__2 , How many electoral votes were received by Romney in Montana ?
__label__1 , What is th definition of the pulse ?
__label__1 , In opera or solo a male singer with lowest adult voice ?
__label__2 , How many cups of rice in a kilo ?
__label__1 , Before Avi became an author ?
__label__2 , Are blackholes invisible ?
__label__1 , How many legs doesa ladybird have ?
__label__2 , What components are in mortgage debt service ratio ?
__label__1 , Where is germany located in the woreld ?
__label__2 , What are the odds of becoming the anti christ ?
__label__1 , What is heredity demonstrator ?
__label__2 , What is th poulation of alabama ?
__label__1 , What is the typical size of house kitchen ?
__label__1 , Afferent arteriole brings blood toward the glomerular capsule ?
__label__2 , What is the scariest ghost in the world ?
__label__1 , How many trees are cut down for all of the newspaper that are bought in the UK ?
__label__1 , What is the value of a 1912 peny ?
__label__1 , What percentage in christianity is in europe ?
__label__1 , How many players on the ice in an ice hockey team ?
__label__2 , In ww1 when did germany surrender ?
__label__1 , How much does a cardiothoracic make by city ?
__label__1 , What continate is norway in ?
__label__1 , How many calories are in an apples ?
__label__2 , How do you change fuel filter on a 2004 yukon denali xl ?
__label__2 , How did wassily kadinsky die ?
__label__2 , What is the scientific study of hereridy ?
__label__2 , What can eat a bobcat ?
__label__1 , Sulfuric acid element or compound ?
__label__1 , How many mlb teams are there in 2011 ?
__label__2 , What kind of people live in Djibouti ?
__label__2 , What is japans top export product ?
__label__1 , The walls of every organ of the alimentary canal are made up of 4 layers ?
